,leaf_ratio,background_ratio,entropy_mean,centre_edge_ratio,n_images_sampled
Peach leaf,0.3878,0.6122,4.3229,1.7591,40.0
Apple leaf,0.4172,0.5828,3.9659,1.7939,40.0
Blueberry leaf,0.4863,0.5137,4.8675,1.4635,40.0
Soyabean leaf,0.4954,0.5046,4.2873,1.89,40.0
Corn rust leaf,0.4958,0.5042,5.1437,1.0969,40.0
Tomato leaf,0.5068,0.4932,4.4684,2.2253,40.0
Strawberry leaf,0.5386,0.4614,4.2378,1.7401,40.0
Potato leaf early blight,0.5404,0.4596,5.079,1.4706,40.0
grape leaf,0.5441,0.4559,4.2281,1.7956,40.0
Raspberry leaf,0.5526,0.4474,4.8293,1.55,40.0
Tomato Early blight leaf,0.5679,0.4321,5.3183,1.1555,40.0
Tomato Septoria leaf spot,0.5771,0.4229,5.0619,1.1928,40.0
Tomato leaf bacterial spot,0.5834,0.4166,5.2997,1.2627,40.0
Corn Gray leaf spot,0.586,0.414,5.1579,1.0534,40.0
Corn leaf blight,0.5901,0.4099,5.21,1.095,40.0
Cherry leaf,0.5988,0.4012,4.8174,2.054,40.0
Apple rust leaf,0.6005,0.3995,5.1475,1.2162,40.0
Tomato leaf late blight,0.6037,0.3963,5.162,1.2652,40.0
Bell_pepper leaf,0.606,0.394,5.4141,1.1324,40.0
Bell_pepper leaf spot,0.6094,0.3906,5.1717,1.2881,40.0
Apple Scab Leaf,0.6124,0.3876,5.0127,1.2998,40.0
grape leaf black rot,0.6397,0.3603,5.0489,1.3469,40.0
Potato leaf late blight,0.6401,0.3599,5.2877,1.241,40.0
Tomato mold leaf,0.6492,0.3508,5.2215,1.2187,40.0
Tomato leaf mosaic virus,0.6674,0.3326,5.2242,1.1049,40.0
Squash Powdery mildew leaf,0.6718,0.3282,5.2759,0.9635,40.0
Tomato two spotted spider mites leaf,0.7147,0.2853,5.551,1.0725,2.0
Tomato leaf yellow virus,0.7292,0.2708,5.2438,1.2033,40.0
