,mean_pairwise_l2,std_pairwise_l2,colour_cv,texture_std,n_images_sampled
grape leaf,23.9823,8.1289,0.4091,0.04,30.0
Apple leaf,22.9181,6.3552,0.2778,0.0352,30.0
Strawberry leaf,22.6288,6.83,0.3482,0.035,30.0
Peach leaf,22.089,5.7955,0.2937,0.0302,30.0
Tomato leaf,21.8663,7.0748,0.3433,0.0242,30.0
Blueberry leaf,21.843,7.5319,0.382,0.0381,30.0
Soyabean leaf,21.4562,7.0138,0.3856,0.0285,30.0
Cherry leaf,20.4405,6.9609,0.3755,0.0377,30.0
Raspberry leaf,20.3082,6.8334,0.3602,0.0338,30.0
Potato leaf late blight,18.6184,5.519,0.3088,0.0315,30.0
Tomato Septoria leaf spot,18.3209,5.5158,0.3203,0.0286,30.0
Bell_pepper leaf spot,17.8617,3.9836,0.2404,0.0395,30.0
Apple rust leaf,17.7835,6.8921,0.3306,0.0272,30.0
Bell_pepper leaf,17.7518,5.0051,0.2596,0.0352,30.0
Potato leaf early blight,16.7238,4.0105,0.2703,0.0319,30.0
Tomato leaf mosaic virus,16.649,4.0827,0.2464,0.0304,30.0
Apple Scab Leaf,16.3454,3.6786,0.2112,0.0301,30.0
grape leaf black rot,16.266,3.2648,0.2086,0.0255,30.0
Tomato leaf late blight,15.9011,3.8594,0.2418,0.0285,30.0
Tomato leaf bacterial spot,15.7407,3.1556,0.187,0.0296,30.0
Tomato mold leaf,15.6198,3.5976,0.1953,0.0275,30.0
Tomato Early blight leaf,15.5288,2.3363,0.1883,0.0235,30.0
Corn leaf blight,15.2923,3.1128,0.1613,0.023,30.0
Corn Gray leaf spot,15.005,3.1753,0.1915,0.0298,30.0
Tomato leaf yellow virus,14.9212,4.1086,0.2079,0.0244,30.0
Corn rust leaf,14.5191,2.7125,0.1941,0.0238,30.0
Squash Powdery mildew leaf,13.7988,1.6715,0.1187,0.0259,30.0
Tomato two spotted spider mites leaf,8.5957,0.0,0.0578,0.0033,2.0
