,mean_pairwise_l2,std_pairwise_l2,colour_cv,texture_std,n_images_sampled
Tomato___Late_blight,15.927,6.948,0.3608,,30.0
Corn_(maize)___Common_rust_,15.1323,2.3717,0.216,,30.0
Blueberry___healthy,14.9806,3.1647,0.1595,,30.0
"Pepper,_bell___Bacterial_spot",13.6172,2.0251,0.1065,,30.0
Potato___Early_blight,13.2221,1.574,0.0623,,30.0
Peach___healthy,13.0377,1.8163,0.0674,,30.0
Apple___healthy,12.8179,2.8567,0.1818,,30.0
Tomato___Early_blight,12.7219,2.4976,0.112,,30.0
Corn_(maize)___healthy,12.422,3.9508,0.1927,,30.0
Apple___Black_rot,12.2409,2.5499,0.0799,,30.0
Cherry_(including_sour)___healthy,12.1277,3.3968,0.18,,30.0
Tomato___Septoria_leaf_spot,11.9027,2.2848,0.1427,,30.0
"Pepper,_bell___healthy",11.8783,1.612,0.1025,,30.0
Strawberry___Leaf_scorch,11.6556,2.9473,0.0759,,30.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,11.5639,2.574,0.0989,,30.0
Apple___Apple_scab,11.4923,2.2416,0.1307,,30.0
Grape___Esca_(Black_Measles),11.4893,1.7846,0.0598,,30.0
Raspberry___healthy,11.4066,2.083,0.1063,,30.0
Peach___Bacterial_spot,11.285,2.21,0.0999,,30.0
Tomato___Target_Spot,11.2265,2.2718,0.0686,,30.0
Soybean___healthy,11.0986,2.2329,0.108,,30.0
Tomato___Leaf_Mold,10.8271,2.4781,0.0957,,30.0
Grape___Black_rot,10.7872,2.0946,0.1094,,30.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,10.6702,1.9029,0.1167,,30.0
Corn_(maize)___Northern_Leaf_Blight,10.6518,2.1597,0.0846,,30.0
Tomato___Spider_mites Two-spotted_spider_mite,10.6476,1.7515,0.0865,,30.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),10.5902,1.8877,0.0826,,30.0
Orange___Haunglongbing_(Citrus_greening),10.3732,2.3322,0.1174,,30.0
Potato___Late_blight,10.2709,1.7052,0.0692,,30.0
Potato___healthy,10.2467,1.9324,0.1044,,30.0
Strawberry___healthy,10.2067,2.009,0.1027,,30.0
Apple___Cedar_apple_rust,10.0145,2.6187,0.1303,,30.0
Cherry_(including_sour)___Powdery_mildew,9.9135,1.6195,0.1136,,30.0
Tomato___Bacterial_spot,9.4117,2.0278,0.0972,,30.0
Squash___Powdery_mildew,9.3296,2.0806,0.121,,30.0
Grape___healthy,8.9521,1.5435,0.0851,,30.0
Tomato___Tomato_mosaic_virus,8.7659,1.6511,0.098,,30.0
Tomato___healthy,8.5693,2.2561,0.0808,,30.0
