filepath,class_name,label_idx
..\..\data\plantvillage_raw\Tomato___Early_blight\5adb20df-006b-4a5d-a1c4-c8284eee9e20___RS_Erly.B 9484.JPG,Tomato___Early_blight,29
..\..\data\plantvillage_raw\Orange___Haunglongbing_(Citrus_greening)\9cba3a3b-859b-4241-a16a-ddd6bffb46ec___CREC_HLB 4000.JPG,Orange___Haunglongbing_(Citrus_greening),15
..\..\data\plantvillage_raw\Apple___Black_rot\bb4461e1-297a-4f68-b5d7-9d469489ee67___JR_FrgE.S 2871.JPG,Apple___Black_rot,1
..\..\data\plantvillage_raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\b6bb3633-4ca0-463b-bd25-79a0ffd99e71___UF.GRC_YLCV_Lab 03197.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,35
..\..\data\plantvillage_raw\Tomato___Target_Spot\5553c138-0dd3-440b-b6b7-06847298450e___Com.G_TgS_FL 0977.JPG,Tomato___Target_Spot,34
..\..\data\plantvillage_raw\Orange___Haunglongbing_(Citrus_greening)\12c833ad-eda3-4844-8b84-59631d247b2f___UF.Citrus_HLB_Lab 0718.JPG,Orange___Haunglongbing_(Citrus_greening),15
..\..\data\plantvillage_raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\792ecc8d-f54b-440a-a518-05cae5904ba4___YLCV_GCREC 5475.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,35
..\..\data\plantvillage_raw\Tomato___Early_blight\4e8e92ba-46f4-4e49-850b-71019f6c8640___RS_Erly.B 6346.JPG,Tomato___Early_blight,29
..\..\data\plantvillage_raw\Tomato___healthy\e67fdf04-f0a3-4351-b65d-a1b7362fc032___GH_HL Leaf 304.1.JPG,Tomato___healthy,37
..\..\data\plantvillage_raw\Soybean___healthy\6da4bf67-e6aa-4f04-a496-2b27e0a1fe80___RS_HL 3949.JPG,Soybean___healthy,24
..\..\data\plantvillage_raw\Peach___Bacterial_spot\8e12d8d3-4e0b-4fa8-9140-88aba45f91d2___Rutg._Bact.S 1148.JPG,Peach___Bacterial_spot,16
..\..\data\plantvillage_raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\19869eb6-51a1-448f-8326-af002366b2a9___UF.GRC_YLCV_Lab 02502.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,35
..\..\data\plantvillage_raw\Tomato___Tomato_mosaic_virus\f73758a1-230b-49a7-87ae-7265232b6b67___PSU_CG 2128.JPG,Tomato___Tomato_mosaic_virus,36
..\..\data\plantvillage_raw\Soybean___healthy\a4322e8d-bb03-4489-a34b-366c963653bd___RS_HL 6530.JPG,Soybean___healthy,24
..\..\data\plantvillage_raw\Apple___Black_rot\6af96fb3-002f-48b3-a2e8-fb5cf30dfa63___JR_FrgE.S 2998.JPG,Apple___Black_rot,1
