filepath,label_idx,class_name
/workspace/leaf-jepa/data/plantvillage_raw/Tomato___Leaf_Mold/6e230511-861d-4ae8-8212-374417841b4c___Crnl_L.Mold 8894.JPG,31,Tomato___Leaf_Mold
/workspace/leaf-jepa/data/plantvillage_raw/Grape___Black_rot/75fab4cc-1f7c-4b57-bf9f-a6ebe1de59d0___FAM_B.Rot 0649.JPG,11,Grape___Black_rot
/workspace/leaf-jepa/data/plantvillage_raw/Orange___Haunglongbing_(Citrus_greening)/5914614d-5ff8-4492-a3ab-7ab78555f5b3___CREC_HLB 7586.JPG,15,Orange___Haunglongbing_(Citrus_greening)
/workspace/leaf-jepa/data/plantvillage_raw/Corn_(maize)___Common_rust_/RS_Rust 2052.JPG,8,Corn_(maize)___Common_rust_
/workspace/leaf-jepa/data/plantvillage_raw/Blueberry___healthy/485b6c71-08dd-4f02-9140-fb04bafd7225___RS_HL 2671.JPG,4,Blueberry___healthy
/workspace/leaf-jepa/data/plantvillage_raw/Tomato___Spider_mites Two-spotted_spider_mite/42dfc224-c909-4d99-ba6b-7f88129f6708___Com.G_SpM_FL 8735.JPG,33,Tomato___Spider_mites Two-spotted_spider_mite
/workspace/leaf-jepa/data/plantvillage_raw/Orange___Haunglongbing_(Citrus_greening)/8bdbda91-9a06-49f3-8629-57c5a62d76b9___UF.Citrus_HLB_Lab 0389.JPG,15,Orange___Haunglongbing_(Citrus_greening)
/workspace/leaf-jepa/data/plantvillage_raw/Tomato___Tomato_Yellow_Leaf_Curl_Virus/9e7bc9ef-bc9d-4519-a2ab-b7ae47d0d222___YLCV_NREC 2868.JPG,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus
/workspace/leaf-jepa/data/plantvillage_raw/Tomato___Target_Spot/12043f51-8708-4543-ae7b-1a4e97376ade___Com.G_TgS_FL 8244.JPG,34,Tomato___Target_Spot
/workspace/leaf-jepa/data/plantvillage_raw/Soybean___healthy/5a5779d8-51d1-446d-b7f3-40f5f75081d8___RS_HL 3464.JPG,24,Soybean___healthy
/workspace/leaf-jepa/data/plantvillage_raw/Tomato___Late_blight/4de5d2c4-bed5-436a-95e2-bcf43a1723fd___GHLB2 Leaf 8727.JPG,30,Tomato___Late_blight
/workspace/leaf-jepa/data/plantvillage_raw/Cherry_(including_sour)___Powdery_mildew/02d6c81a-c5dc-4b29-848a-7a0b8c42e5ed___FREC_Pwd.M 4699.JPG,5,Cherry_(including_sour)___Powdery_mildew
/workspace/leaf-jepa/data/plantvillage_raw/Tomato___Bacterial_spot/13b8bbd3-32cf-4c69-bffb-870b7b6720e0___UF.GRC_BS_Lab Leaf 8890.JPG,28,Tomato___Bacterial_spot
/workspace/leaf-jepa/data/plantvillage_raw/Tomato___Septoria_leaf_spot/82962452-4142-4424-98a5-390d662b145b___Matt.S_CG 7527.JPG,32,Tomato___Septoria_leaf_spot
/workspace/leaf-jepa/data/plantvillage_raw/Grape___Esca_(Black_Measles)/d1c14c9d-d5d7-466d-9b86-d7603b981c08___FAM_B.Msls 4123.JPG,12,Grape___Esca_(Black_Measles)
