filepath,class_name,label_idx
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\99efb674-1e97-4f94-978a-a87c24dde48a___FREC_C.Rust 9995.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\91ba83a7-5138-4cec-9fe4-e8729484836b___FREC_C.Rust 0058.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\dee4cbf1-9bdd-451a-b1bb-21756fd981e9___FREC_C.Rust 3727.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\94d6b99f-2ac4-4a88-823f-3c607358d057___FREC_C.Rust 9826.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\90a124ff-56a1-46be-bac4-0bd424599cbc___FREC_C.Rust 4300.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\17b9f64c-4660-424f-9c8e-d9a49654e512___FREC_C.Rust 3776.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\adc62175-3fb6-4273-81d2-818c75ba0ab1___FREC_C.Rust 0233.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\7ce07da8-973f-467f-98af-642a1ffbea04___FREC_C.Rust 4334.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\848e865c-bdbb-41eb-a4d1-90f1d49d1d74___FREC_C.Rust 0067.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\6ddafe85-27e6-4ca2-915f-2db6015cdf29___FREC_C.Rust 3983.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\7e6e24dd-b8e6-4668-b4ae-a2480441bb78___FREC_C.Rust 3627.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\3f9bd33d-ceeb-49fa-8874-d9cc013ca018___FREC_C.Rust 4183.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\85f1b51d-ad5e-4ec2-a46b-2a9dade22e2a___FREC_C.Rust 9971.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\928e5ee5-6568-4e73-afbf-8251794d33a8___FREC_C.Rust 3747.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\9f8d81c0-6a20-47df-b52a-46820078fd74___FREC_C.Rust 3626.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\4444fa5c-3ad7-49cf-9384-8686b691e4b8___FREC_C.Rust 3600.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\68a4878f-c220-49ff-a858-5b026e56e7b0___FREC_C.Rust 9844.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\fc170fda-2b0d-4b02-a569-fbe37a23264d___FREC_C.Rust 3704.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\7e32ce27-bc89-4fca-9f49-c50de91210d1___FREC_C.Rust 4425.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Apple___Cedar_apple_rust\a4e8bc4c-4522-4a7d-b7c9-70c4b220561e___FREC_C.Rust 3570.JPG,Apple___Cedar_apple_rust,2
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\6e9054c0-9d19-4d4d-a9e2-8c160cf7e2a8___Mary_HL 9326.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\00a3fc0e-64cc-4e35-ac2f-aef04fda9b22___Mary_HL 9177.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\4ad8532d-57cd-41b7-af50-c6e13e009ae8___Mary_HL 9236.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\11eb28ed-0d05-46c9-a2a8-e325d8bf2b38___Mary_HL 9265.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\5ba861f9-03d2-4146-b416-5e9e74f39266___Mary_HL 9263.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\82c18bee-2221-4680-8131-0ed3d1aba7af___Mary_HL 9354.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\9e64e964-c4c6-4cf7-80e4-ef0a4ff7d386___Mary_HL 6350.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\ba2f9f86-c854-42d0-bc56-0992eaa2799a___Mary_HL 6302.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\5029ab0a-f4cf-4a99-be09-d5ab35feb93e___Mary_HL 6411.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\904c258a-fca6-49c1-94cf-e904eafff12e___Mary_HL 6408.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\e70a09bb-2ed0-448d-87d7-7093dde8b194___Mary_HL 9337.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\9f63daed-c468-4783-94c9-c703187a37ad___Mary_HL 6303.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\f0f6a1e0-bd23-482b-9473-923211962114___Mary_HL 9244.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\6e7da959-6ecf-41d2-b9d6-dcc7e8c8dcd2___Mary_HL 6406.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\c091897d-f67a-4125-8d95-fd69e7dbd6b8___Mary_HL 9188.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\b93108ac-bbc8-4fcd-9bae-9514ec2f3127___Mary_HL 6326.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\7ea7a4b0-d404-4355-acfb-c0fa23d976b0___Mary_HL 6342.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\0a74d671-0dc5-47fd-9e50-1ab0a9db634e___Mary_HL 6247.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\102dcdc7-69ca-443d-a5e5-7c861092fa4e___Mary_HL 9259.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Raspberry___healthy\67285b4b-1172-4cca-abfd-0f95c83d697b___Mary_HL 6224.JPG,Raspberry___healthy,23
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\88e2e3f1-defc-4d08-951a-ea6ed654dfe0___GHLB_PS Leaf 8 Day 8.jpg,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\537465e6-a88a-44d9-aa89-4e3877cee904___RS_Late.B 5433.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\b636dc09-ae98-4907-bc0e-3f1e8c444b50___GHLB2 Leaf 9115.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\a07a8ed5-dbed-4299-96ef-18bc1ffcab3b___GHLB2 Leaf 68.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\781582d3-8bad-4e20-9073-e1fa1b50abba___RS_Late.B 6269.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\d2b12108-4222-4653-85f2-9d59c5929c1e___RS_Late.B 6360.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\16ac8a43-f720-4fd9-ac41-016523612f38___RS_Late.B 4898.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\44133f33-9968-41b9-bf3b-61e94c8a6bfa___RS_Late.B 5076.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\e4ec79b5-94df-42dd-8425-bd68d2320c5f___RS_Late.B 5406.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\861d8b00-57a4-46b0-b51a-09d102dbe119___GHLB_PS Leaf 24 Day 13.jpg,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\083bd43d-7dcb-4f3c-a0ca-6de1f468c9ef___RS_Late.B 5173.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\6fcf86a2-e2fd-4a55-bdd4-216d58497f55___RS_Late.B 5064.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\e60c6680-9c50-4063-9eb9-6e77980afcfa___RS_Late.B 5343.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\250823af-1631-4050-928d-029101ddc744___RS_Late.B 6197.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\739d6880-fbff-462a-a06b-5a95b340f706___RS_Late.B 6101.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\d648ce42-6742-44b2-95b9-a01b24e3054a___RS_Late.B 6116.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\80fc88e3-e4b6-49be-9f10-a364dbf88767___GHLB2ES Leaf 137.jpg,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\d6dde2e1-097a-4d45-b646-0110aaa06107___GHLB2 Leaf 8816.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Tomato___Late_blight\d11994f7-7c51-41b1-8225-c628e0e15885___GHLB2 Leaf 8683.JPG,Tomato___Late_blight,30
D:\IRP\leaf-jepa\data\plantvillage_raw\Potato___Early_blight\daa35c03-7307-4e2e-8b15-f33bfff5a12d___RS_Early.B 7712.JPG,Potato___Early_blight,20
D:\IRP\leaf-jepa\data\plantvillage_raw\Potato___Early_blight\283134dd-8b32-447e-8e82-547d3b69f4d4___RS_Early.B 7494.JPG,Potato___Early_blight,20
D:\IRP\leaf-jepa\data\plantvillage_raw\Potato___Early_blight\aed93c24-f226-4dd4-b5fb-b1f2d1202c63___RS_Early.B 8363.JPG,Potato___Early_blight,20
D:\IRP\leaf-jepa\data\plantvillage_raw\Potato___Early_blight\a01521f0-27be-4688-9d28-07d09ef80920___RS_Early.B 7119.JPG,Potato___Early_blight,20
D:\IRP\leaf-jepa\data\plantvillage_raw\Potato___Early_blight\00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,Potato___Early_blight,20
D:\IRP\leaf-jepa\data\plantvillage_raw\Potato___Early_blight\08bbd7f1-169d-4e38-946f-8d91589b263e___RS_Early.B 7106.JPG,Potato___Early_blight,20
