,B1,B2,B3,B4,B5
Apple___Apple_scab,1.0,1.0,0.9738219895287958,1.0,0.989247311827957
Apple___Black_rot,1.0,1.0,1.0,1.0,0.9945945945945946
Apple___Cedar_apple_rust,1.0,1.0,1.0,1.0,1.0
Apple___healthy,1.0,1.0,0.9938900203665988,0.9979633401221996,0.9979716024340771
Blueberry___healthy,0.9977827050997783,0.9977827050997783,0.9977924944812362,0.9977827050997783,0.9977924944812362
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,0.9936305732484076,1.0,0.9968454258675079
Cherry_(including_sour)___healthy,0.996078431372549,0.996078431372549,0.9921875,0.9921875,0.9921259842519685
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9433962264150944,0.8848484848484849,0.8961038961038961,0.9554140127388535,0.9171974522292994
Corn_(maize)___Common_rust_,1.0,0.9971988795518207,0.9972144846796658,1.0,1.0
Corn_(maize)___Northern_Leaf_Blight,0.9688581314878892,0.9366197183098591,0.9491525423728814,0.9759450171821306,0.958904109589041
Corn_(maize)___healthy,1.0,1.0,1.0,0.997134670487106,0.997134670487106
Grape___Black_rot,1.0,1.0,0.9971671388101983,1.0,0.9915966386554622
Grape___Esca_(Black_Measles),0.9975903614457832,1.0,0.9975903614457832,1.0,0.9951456310679612
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,1.0,1.0
Grape___healthy,1.0,1.0,1.0,1.0,1.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,0.999395039322444,1.0,0.999395039322444
Peach___Bacterial_spot,0.9985486211901307,0.9970845481049563,0.9985443959243085,1.0,0.997093023255814
Peach___healthy,1.0,0.9818181818181818,1.0,1.0,1.0
"Pepper,_bell___Bacterial_spot",1.0,1.0,0.9966555183946488,1.0,0.9966555183946488
"Pepper,_bell___healthy",1.0,1.0,0.9955156950672646,1.0,0.9977528089887641
Potato___Early_blight,1.0,1.0,0.9966777408637874,1.0,0.9866666666666667
Potato___Late_blight,0.9864864864864865,0.9932885906040269,0.9694915254237289,0.9932885906040269,0.9696969696969697
Potato___healthy,1.0,1.0,0.8837209302325582,1.0,0.9545454545454546
Raspberry___healthy,1.0,1.0,1.0,1.0,1.0
Soybean___healthy,0.9993451211525868,0.9993451211525868,0.9980379332897319,0.9993451211525868,0.9980353634577603
Squash___Powdery_mildew,1.0,1.0,1.0,1.0,1.0
Strawberry___Leaf_scorch,0.9970149253731343,0.9940476190476191,0.9970149253731343,0.9970149253731343,1.0
Strawberry___healthy,1.0,1.0,1.0,1.0,1.0
Tomato___Bacterial_spot,1.0,1.0,0.985781990521327,0.9984350547730829,0.9921507064364207
Tomato___Early_blight,0.9736842105263158,0.9933333333333333,0.9385113268608414,0.9900990099009901,0.9294871794871795
Tomato___Late_blight,0.9825174825174825,0.9895833333333334,0.9387040280210157,0.991304347826087,0.9719298245614035
Tomato___Leaf_Mold,0.9965156794425087,1.0,0.9759450171821306,0.9964912280701754,0.9824561403508771
Tomato___Septoria_leaf_spot,0.9962121212121212,0.9924242424242424,0.9673704414587332,0.9962264150943396,0.9695817490494296
Tomato___Spider_mites Two-spotted_spider_mite,0.9960159362549801,0.9882352941176471,0.9783889980353635,0.9960474308300395,0.9881422924901185
Tomato___Target_Spot,0.9882903981264637,0.985781990521327,0.9516908212560387,0.9928400954653938,0.9785202863961814
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9987531172069826,0.9950310559006211,0.9993769470404984,0.996268656716418
Tomato___Tomato_mosaic_virus,1.0,0.990990990990991,1.0,1.0,1.0
Tomato___healthy,0.99581589958159,0.9916317991631799,0.9896049896049897,0.9979123173277662,0.9979123173277662
